NPTREF,SMSREF,GMGRFE,GMGRFN,RSTNAM,MAINRD,SIDEST,NETTYP,GAZREF,NETWRF
9100EDIDBRY,,385340,390299,EAST DIDSBURY,WILMSLOW ROAD,KINGSWAY,R,E0028368,SBR119
9100FLIXTON,,374624,394180,FLIXTON,FLIXTON ROAD,AMBLESIDE ROAD,R,E0028410,SJR164
9100FLWRYFD,,394770,396078,FLOWERY FIELD,BENNETT STREET,CARTER STREET,R,N0074984,EHR100
9100FRFD,,390475,397183,FAIRFIELD,BOOTH ROAD,CLARENDON ROAD,R,E0028387,EHR103
9100FRNW,,374372,406036,FARNWORTH,RAILWAY STREET,BRIDGE STREET,R,E0028392,WAR060
9100GATHRST,,354111,407210,GATHURST,ACKHURST LANE,GATHURST ROAD,R,E0028431,WKR012
9100GATLEY,,384747,388478,GATLEY,CAMBRIDGE ROAD,BELMONT ROAD,R,E0028432,SGR110
9100GFLD,,399165,404687,GREENFIELD,SHAWHALL BNK RD,OAKLANDS ROAD,R,E0028472,EDR058
9100GIDB,,392534,397540,GUIDE BRIDGE,GUIDE LANE,MARTIN STREET,R,E0028480,EHR102
9100GODLY,,396398,395056,GODLEY,MOTTRAM ROAD,SHEFFIELD ROAD,R,E0028445,EHR030
9100GORTON,,388997,396930,GORTON,LEES STREET,LONGFORD STREET,R,E0028451,EBR114
9100HAGFOLD,,367359,404216,HAG FOLD,SPA ROAD,DEVONSHIRE ROAD,R,E0028727,WKR004
9100HALE,,376981,386906,HALE,ASHLEY ROAD,VICTORIA ROAD,R,E0028730,SJR031
9100HATRSLY,,397418,394277,HATTERSLEY,HATTERSLEY RD W,FIELDS FARM RD,R,E0028756,EHR028
9100HAZL,,391933,386773,HAZEL GROVE,STATION STREET,CHESTER ROAD,R,E0028763,SGR095
9100HINDLEY,,361972,405232,HINDLEY,LADIES LANE,RAILWAY STREET,R,E0028822,WKR015
9100HITW,,372754,411261,HALL I'TH' WOOD,CROMPTON WAY,LAYCOCK AVENUE,R,E0028737,WAR019
9100HLDG,,384348,385862,HEALD GREEN,FINNEY LANE,OUTWOOD DRIVE,R,N0075002,SGR109
9100HMPHRYP,,378334,395105,HUMPHREY PARK,DERBYSHIRE LANE,HUMPHREY LANE,R,N0075023,SJR003
9100HORWICH,,364377,409181,HORWICH PARKWAY,A6027 LINK ROAD,NONE,R,N0075079,WAR477
9100HTCP,,388203,392107,HEATON CHAPEL,HEATON MOOR RD,EGERTON RD NTH,R,E0028777,SGR122
9100HYDEC,,394447,394967,HYDE CENTRAL,GREAT NORBURY S,ROBERT STREET,R,E0028879,EHR084
9100HYDEN,,394446,396447,HYDE NORTH,JUNCTION STREET,WESTBURY STREET,R,E0028879,EHR099
9100INCE,,359513,404886,INCE,INCE GREEN LANE,HAIGH VIEW,R,E0028883,WKR071
9100IRLAM,,371345,393135,IRLAM,STATION ROAD,LIVERPOOL ROAD,R,E0028884,NFR078
9100KEARSLY,,375210,405390,KEARSLEY,STATION ROAD,STONECLOUGH RD,R,E0028898,WAR017
9100LITLBRO,,393847,416278,LITTLEBOROUGH,STATION ROAD,RAILWAY STREET,R,E0028987,NER063
9100LOSTCKP,,367378,408604,LOSTOCK,RUMWORTH ROAD,REGENT ROAD,R,E0028995,WAR005
